segment,label,speaker,start,end
[ 00:00:00.008 -->  00:00:03.438],A,SPEAKER_00,0.008488964346349746,3.4380305602716468
[ 00:00:03.964 -->  00:00:11.196],B,SPEAKER_00,3.9643463497453313,11.196943972835316
[ 00:00:11.977 -->  00:00:55.492],C,SPEAKER_00,11.977928692699491,55.492359932088284
[ 00:00:24.660 -->  00:00:25.492],D,SPEAKER_01,24.660441426146015,25.492359932088284
[ 00:00:33.471 -->  00:00:35.186],E,SPEAKER_01,33.47198641765704,35.18675721561969
[ 00:00:50.178 -->  00:00:51.061],F,SPEAKER_01,50.178268251273344,51.06112054329372
[ 00:00:55.492 -->  00:00:55.577],G,SPEAKER_01,55.492359932088284,55.57724957555178
[ 00:00:55.577 -->  00:00:56.001],H,SPEAKER_00,55.57724957555178,56.00169779286927
[ 00:00:56.001 -->  00:00:58.310],I,SPEAKER_01,56.00169779286927,58.3106960950764
[ 00:00:58.310 -->  00:00:58.327],J,SPEAKER_00,58.3106960950764,58.3276740237691
[ 00:00:58.446 -->  00:01:10.059],K,SPEAKER_00,58.446519524618,70.05942275042446
[ 00:01:09.329 -->  00:01:10.263],L,SPEAKER_01,69.32937181663837,70.26315789473685
[ 00:01:10.263 -->  00:01:10.500],M,SPEAKER_00,70.26315789473685,70.50084889643463
[ 00:01:10.500 -->  00:01:10.534],N,SPEAKER_01,70.50084889643463,70.53480475382003
[ 00:01:11.146 -->  00:01:52.911],O,SPEAKER_01,71.14601018675722,112.91171477079797
[ 00:01:17.614 -->  00:01:18.140],P,SPEAKER_00,77.61460101867573,78.1409168081494
[ 00:01:35.594 -->  00:01:36.035],Q,SPEAKER_00,95.59422750424449,96.03565365025466
[ 00:01:37.784 -->  00:01:38.531],R,SPEAKER_00,97.78438030560272,98.5314091680815
[ 00:01:53.828 -->  00:01:56.324],S,SPEAKER_01,113.82852292020374,116.32427843803057
[ 00:01:57.342 -->  00:01:58.140],T,SPEAKER_01,117.34295415959252,118.1409168081494
[ 00:01:58.140 -->  00:01:59.431],U,SPEAKER_00,118.1409168081494,119.43123938879458
[ 00:01:58.616 -->  00:01:59.023],V,SPEAKER_01,118.616298811545,119.02376910016977
[ 00:01:59.431 -->  00:01:59.448],W,SPEAKER_01,119.43123938879458,119.44821731748726
[ 00:01:59.601 -->  00:02:00.415],X,SPEAKER_01,119.60101867572158,120.41595925297113
[ 00:01:59.906 -->  00:02:02.045],Y,SPEAKER_00,119.90662139219015,122.04584040747028
[ 00:02:02.045 -->  00:02:17.088],Z,SPEAKER_01,122.04584040747028,137.08828522920206
[ 00:02:02.062 -->  00:02:02.096],AA,SPEAKER_00,122.06281833616299,122.09677419354838
[ 00:02:02.300 -->  00:02:03.285],AB,SPEAKER_00,122.30050933786077,123.28522920203736
[ 00:02:09.125 -->  00:02:09.533],AC,SPEAKER_00,129.12563667232598,129.53310696095076
[ 00:02:10.195 -->  00:02:10.636],AD,SPEAKER_00,130.19524617996606,130.63667232597624
[ 00:02:17.139 -->  00:02:17.156],AE,SPEAKER_01,137.13921901528013,137.15619694397284
[ 00:02:17.156 -->  00:02:17.563],AF,SPEAKER_00,137.15619694397284,137.56366723259762
[ 00:02:17.563 -->  00:02:35.730],AG,SPEAKER_01,137.56366723259762,155.7300509337861
[ 00:02:24.915 -->  00:02:25.662],AH,SPEAKER_00,144.9151103565365,145.6621392190153
[ 00:02:27.054 -->  00:02:27.597],AI,SPEAKER_00,147.05432937181664,147.59762308998305
[ 00:02:36.137 -->  00:02:42.809],AJ,SPEAKER_01,156.13752122241087,162.8098471986418
[ 00:02:42.911 -->  00:03:01.061],AK,SPEAKER_01,162.91171477079797,181.06112054329373
[ 00:02:59.227 -->  00:02:59.957],AL,SPEAKER_00,179.2275042444822,179.95755517826825
[ 00:03:01.298 -->  00:03:07.410],AM,SPEAKER_01,181.29881154499154,187.41086587436334
[ 00:03:03.251 -->  00:03:03.421],AN,SPEAKER_00,183.25127334465196,183.42105263157896
[ 00:03:06.680 -->  00:03:07.173],AO,SPEAKER_00,186.68081494057725,187.17317487266556
